SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,TransactionNumber
1,6,27039,381,7,0,0,FQL4S94E4ME1EZFTG42G
2,16,25011,61,7,0,0,12UGLX40DJ1A5DTFBHB8
3,13,94024,23,24,0,0,5DT8RCPL87KI5EORO7B0
4,8,73966,176,19,0.2,0,R3DR9MLD5NR76VO17ULE
5,10,32653,310,9,0,0,4BGS0Z5OMAZ8NDAFHHP3
6,13,28663,413,8,0,0,3KTAYIZPGDQMZMRWZ8NG
7,14,46674,370,12,0,0,ICRZIHELQCVB71RNH1G5
8,3,12687,287,4,0.2,0,6X9MOQIJH92NIK81BG0K
9,16,89009,124,23,0,0,P0UARL09H66APBEIDUQW
10,22,65017,346,17,0.2,0,92TNPGIL6LFKVGWFBW5H
11,5,67670,405,18,0.2,0,Z2WDS9TJXLAO1GY0N24I
12,17,28353,285,8,0,0,BLQPUVH22XKER90WAW7P
13,22,29082,162,8,0.2,0,8Z5WT0YENU1ZMOH5NYEB
14,7,33133,406,9,0,0,VOP9A7Y4C5XSM2LLT0UJ
15,19,19310,134,5,0,0,E2JF4LIQNYTDKDBGMJS0
16,16,91867,364,24,0,0,AO360LVKUYJSSGL5T5MF
17,8,14612,185,4,0,0,P73F1OA46H2JE3EF83ZM
18,17,96120,377,25,0.1,0,S09LSXPASD6KXLHZRZWL
19,23,2657,49,1,0,0,NGH8EC7PL1MS7W6UT8RL
20,18,51200,308,13,0,0,D3VYGIWGH421Q5JSCEKI
21,16,91382,147,24,0,0,7BKSQOA5XQ50L9DLAXUB
22,18,23677,442,6,0,0,3XJQHRN1HU7295SB6QUL
23,1,35389,392,9,0,0,KDX14V662HP7B4E019WN
24,23,66030,324,17,0,0,FWXXB3LA360PZJJMPCVH
25,7,45384,341,12,0,0,EDHVY1DB5HXY64GZ4SRK
26,14,87577,369,23,0,0,YAPHCKUECW0590JG1D27
27,10,14848,330,4,0,0,YO2QTF3MKJ4WYG2REMGJ
28,6,45482,145,12,0.2,0,SLWSW3WJ3EPDX0LNQI5R
29,11,655,378,1,0,0,RDW9BKHONRLN1536YWB6
30,4,77357,91,20,0,0,H4EI0FH4N3BS518ZJLIF
31,4,87441,449,23,0,0,GM4PVVHGSLUKOA8IQA5Z
32,22,47694,124,13,0.2,0,ZOAVW4V6EBSQ71HAT5KZ
33,15,43145,291,11,0,0,VHG7GQZHTADFBGYTTZQM
34,4,17875,116,5,0,0,DA1UH9Q7X5K0V47TOFDV
35,2,75421,367,20,0.1,0,L1FAVKJGZ6TDDH7FDZG9
36,3,19823,150,6,0,0,V5SFGCR05JCQLR9LJLP7
37,20,51149,2,13,0,0,XZRNIM0DAGWMEPVMVF7S
38,9,70699,344,18,0,0,TMGMRPXTUDR2JY61RYQQ
39,7,61998,64,16,0,0,V3F371DYN6HEA3CA0QW2
40,3,22037,419,6,0,0,G25KURPL4HH1TYI0IKNK
41,17,23796,246,7,0,0,77AN9UTRQ7TO2E1AJCAN
42,14,13389,439,4,0,0,JP0DG5U9H58IP9VVWLXW
43,15,74923,215,19,0,0,D9ODQJHQZ8DWHOI9ASOY
44,12,69666,21,18,0,0,81K6D55FNQCRI5FBZPLC
45,5,26337,384,7,0,0,IXVL7LCLLS8XC4736CEB
46,13,28160,420,8,0.1,0,BH05YI2YA23MYQ4PK6KS
47,5,86775,407,22,0,0,1X4T6187SC7087FUG82A
48,16,68391,335,18,0,0,AP5BEE3EM6TIGAJWBSGT
49,18,93402,108,24,0,0,IPVLPJOV4XHI7Q8ZIRN4
50,21,16869,257,5,0,0,66EHSWVX5FLHWSZ9POVF
51,21,12478,215,4,0.2,0,H8B08JBXS1TOWBJH3XMS
52,13,42015,352,11,0,0,ZHV1AY8PT2RPAOX2HJDJ
53,20,30247,220,8,0,0,CESS0HGRLR9MLIQFZYL3
54,9,75366,170,20,0,0,YY1YLMLFMD88XM239AHR
55,7,69334,137,18,0,0,8BI3P66MILSGTEGQTEUU
56,12,3362,392,1,0.1,0,ZE0DOWNCQN4B8QMJVWGE
57,15,88382,122,23,0,0,4SGS38MDFWMXM8XIP1AI
58,14,27995,151,8,0,0,RXO4KNT6XHEFIULKLKO1
59,2,28582,288,8,0,0,ARHEMHP05V6VJCUROJKS
60,20,43835,393,12,0,0,HE8H3DBX4GMHBH57PX54
61,3,13816,83,4,0,0,SM7KZIRSW039RSD8XJ4E
62,9,1193,225,1,0,0,1EKE7VOKZLFN0PS0X3VK
63,16,12032,361,4,0,0,7FI7JOSYRE1Q3Q7N5SM2
64,12,11652,34,3,0.2,0,XENLR2K80F8TXTZ16N7V
65,18,76336,349,20,0,0,77EXXYLDRB8HXA0VMSL8
66,6,19976,282,6,0.2,0,RYSW5X8MY4F6LQ79NT4Z
67,3,83968,446,22,0,0,84ZB0IY5KVMNWF8L1S1D
68,19,11207,46,3,0,0,T6TBBKTMYYH9VJUTK4E9
69,6,56472,39,15,0,0,D9TJPAYNM12M4EX60PY5
70,16,98247,437,25,0,0,MW4E0WESGOM3AFX0RLAU
71,19,40719,362,11,0.2,0,BXEMQ4XMJEG4WRDO5OEK
72,22,42673,294,11,0,0,6CFIUZ0693OALBYQR9RH
73,11,34122,313,9,0,0,W96ZDOJBMXVA35LZ4W5W
74,21,79380,83,21,0,0,ABSUAFFYDEM3P939JGAG
75,1,27404,62,7,0,0,M6SZI5DRNCMKPMYE4384
76,2,77993,161,20,0,0,8I97DVHPKGUGMO4ZUSA1
77,4,47514,227,13,0.1,0,Q1ZJ0N4UED2CGDOIS49V
78,13,64482,371,17,0,0,2WS42XTEAAY26IG9ND8D
79,18,39693,393,11,0,0,53R35AGH1N066N57FXPA
80,18,17225,374,5,0,0,4249AV784R1H5WT10XND
81,10,803,415,1,0,0,8NYV0UA28FJ3F10NUUF8
